rock_shoe_model,category_a,category_b,category_c,category_d,foot_volume,foot_type
Boreal Ace,Drop 2 UK Sizes,Drop 1.5 UK Sizes,Drop 1 UK Size,Drop 0.5 UK Size,High,Classic
Boreal Alpha VC,-,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,High,Classic
Boreal Beta Wmns,-,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,Medium,Classic
Boreal Beta,-,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,Medium,Classic
Boreal Indo,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,-,High,Centre
Boreal Indo Womens,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,-,Medium,Centre
Boreal Joker Lace,-,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,High,Classic
Boreal Joker Lace Womens,-,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,Medium,Classic
Boreal Joker Plus Velcro,-,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,High,Classic
Boreal Lynx,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe size,-,High,Classic
Boreal Lynx Wmns,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe size,-,High,Classic
Boreal Ninja,Drop 1 UK Size,Drop 0.5 UK Size,Buy Shoe Size,-,Medium,Classic
Boreal Satori,Drop 0.5 UK Size,Buy Shoe Size,Buy 0.5 UK Size Larger,-,Medium,Classic
Boreal Silex Lace,-,Drop 1.5 UK Size,Drop 1 UK Size,Buy Shoe Size,Medium,Classic
Boreal Silex VC,-,Drop 1.5 UK Size,Drop 1 UK Size,Buy Shoe Size,Medium,Classic
EB Balboa,Drop 1 EU Size,Drop 0.5 EU Size,Buy Shoe Size,-,Medium,Classic
EB Black Opium,Drop 1 EU Size,Drop 0.5 EU Size,Buy Shoe Size,Buy 0.5 EU Size Larger,Low,Classic
EB Django 3.0,Drop 1 EU Size,Drop 0.5 EU Size,Buy Shoe Size,Buy 0.5 EU Size Larger,Low,Classic
EB Electron,Drop 1 EU Size,Drop 0.5 EU Size,Buy Shoe Size,Buy 0.5 EU Size Larger,Medium,Classic
EB Guardian 3.0,Drop 1 EU Size,Drop 0.5 EU Size,Buy Shoe Size,Buy 0.5 EU Size Larger,Low,Classic
EB Nebula,Drop 1 EU Size,Drop 0.5 EU Size,Buy Shoe Size,-,Low,Classic
EB Red,Drop 1 EU Size,Drop 0.5 EU Size,Buy Shoe Size,Buy 0.5 EU Size Larger,Medium,Classic
Evolv Defy,-,Buy 0.5 UK Size Larger,Buy1 UK Size Larger,Buy 1.5 UK Size Larger,High,Classic
Evolv Defy Lace (2021),-,Buy0.5 UK Size Larger,Buy1 UK Size Larger,Buy 1.5 UK Size Larger,High,Classic
Evolv Elektra,-,Buy0.5 UK Size Larger,Buy1 UK Size Larger,Buy1.5 UK Size Larger,Medium,Classic
Evolv Elektra Lace,-,Buy0.5 UK Size Larger,Buy1 UK Size Larger,Buy1.5 UK Size Larger,Medium,Classic
Evolv Geshido Lace (2021),Drop 0.5 UK Size,Buy Shoe Size,Buy 0.5 UK Size Larger,Buy 1 UK Size Larger,Medium,Classic
Evolv Geshido Lace Wmns (2021),Drop 0.5 UK Size,Buy Shoe Size,Buy 0.5 UK Size Larger,Buy 1 UK Size Larger,Low,Classic
